,0
0,3DKcHmHdqcUDAX2Yi2sjX9Hauam25Nk5Ja
1,3JNZyt1ocETf9oHscQfx17XNqY3odHAjaR
2,bc1q0xur68lq587lw8aqf96f4qqcmum6sqcpyyy94a
3,3JjtnDXknvY7HWidn5wt5BdZsRdXCGEt8y
4,3J9rQSzvNThPdN5FDbJAD3N8Wdce1KF6Ms
5,3MAfimT3djAdoftsfXNzLKypASeCuyQNhQ
6,336Cqh6hp7qXtJtU26BAPFWW1v2bBymrej
7,bc1qj02tf6sqyn92s7vmmpq6vn9hls4yegvntknfdl
8,3EWxsS8SBYKmYn3aPQ2uu84iehK8J5MGNW
9,bc1qnxdgcj0ywhh4a7j8u8hrzd0lhzlfquservd77r
10,3JekQJ5icD3gDSbPiSMLchenaSUCroGSaV
11,3JRdGQfZgGtNX8vXjmaweDTsW6mBfVj62H
12,3L9M1wPpy5vvntsTvt48AgJQm1ubaztmrT
13,1267ypk4B9U221BC42292jG1ny3W6NyrWx
14,3KG4GAkmvpPKzeKGm8qAnyDmamHSL9MzLT
15,37wohwBian6n2icGwJQbDTVNyqjJ15zsw8
16,3QZRg9aNqRn8X8UcbcEosMNcZgiJrV8F1e
17,bc1qfdfcej8vvsau0mq087xugdj0l0c5085g8wuwe8
18,3JPVMgc4NxK5UTRnPiihtUyFzWwsVqjzJQ
19,bc1qx66yug3utc2dzz8mmu0xvtnefagch0ty8057cj
20,3AdrxWJP6diUZPkdPtwHTtf1UQyH6Fdgxk
21,3H8qqnKnAmbxEvjobAwNWoYUsbcRrpDgM4
22,3NNWWyz5qfXphuw3fPZhhtA9M8xgXaEN2m
23,bc1qqwehdueufm4v4ags26xzcnwpt4l34sfvjxvdxr
24,3DxYfpknDUKDeTdfuyoG1AXFh2jrruG4r4
25,38zz2rPzDAksaH4n9dT8zDd2jHA5qMrets
26,bc1q0ahqkytsq4dgdjcgxerh9qyp0dseksxq2xxv35
27,34sPujxTo5GTnF8nySK8qakCkNm5HQgS7M
28,3FvhU9QhEDiVaDbqCN749Hc5tQ7u2M9Hkh
29,3JXvvGN7tZfUBPKtt233mCcmy9vok7g4rL
30,bc1qmn3623flza5n3hmrjrl4pg0pyr9325n7cf2jt7
31,3C9823PA1PpD1Bom8Q2yZkgHCAnnayF4eU
32,bc1qdh0yfe4vektndqsk630a2nc30n0xwre9lu54zl
33,387eTKWjwsb12rF9aPX7JpQMmcJn3UF6g3
34,3KC35tmYpKeYD7asxHLpa47Qh3PzXP4mfu
35,3CL3U6XPkPZ7NThvhFrg5zXBQEjFpY65f1
36,bc1qfqpdeep2yr60sewzeud2faa6958jppraar82xs
37,3QWHtf1LB2Jv8CRupjh32ok6NmMA3eUDod
38,bc1qkl2mh739rkdd272tme5h60p9dd5s9e2ahv6pn6
39,113LaspLBbvVMidszwDedJ7eAJzzvYj1xy
40,11t5PBBjzbWYuD3BJs9B7rGYtPfUqvGp3
41,1228M4X2wDnjwtFRjib4XWtEWbDHczLe88
42,1234gKBrciuMmC3JJTe98Ki2QgpAfZsFFe
43,1235CeG5b76K9t7tXAo9AqSLTDNFw7kXg6
44,12DFFtDgaYRAmaYxMeJyMC7ZnYa6BQWayn
45,12DhoVDBE49EcZdsD7QFLhLXv7wKaUbpLc
46,12dtMz9dXYavUe9CUBeSGDoHCosq4LgG1f
47,12FXRkUsv88iReL8Rt6oxCEU8PBrFKFkSi
48,12GVUxBkEUvM7N7Ds73Q1dSUyrTaTotZNJ
49,12iRRKwt4e6itMtYT7AhbTZKVbZUwbnaxH
50,12M1i799g8LFZZ2tVARmi6yaCqGGyTmzVq
51,12oikQRTFVEtDiCtABcgWwiMa486VzNk7B
52,12PxgnQ2uiqCBNZiSQDHT5MFf3TBYskUqk
53,12T9V8rbj2LPaHAfA2AT1j7fGJnDoiGTLX
54,12tDcSy4qHiMsK2VGbh6ygoC3W1dtuu9w6
55,12TUQKoNsPGTMybgpEUv11aVGbfsKWjiep
56,12U55FYEjsgqntvAz4JcsGY5igY3ypXRBo
57,12Vzgy4btxApmAYv6vbPtTthwL8qKf6C15
58,133JgP3AsKcouZTTjb7BessXSjwkwxerUB
59,13cUQo7oiMx8ug9MwTerPkJs1z8gPeC58R
60,13eZE7VNj69BSNFGUHiA8yjXFZyGj8HoPC
61,13eZNf2o1piyi8AbhCEFZGZUB1ZEs8ufzw
62,13iz1acuwUuV7iXxQPsGyGgXxvAsbuKmxn
63,13kYunhaZdAPqtGMp8ZAL3uLYQFpGWQiAr
64,13mBDCnr1q5wf4YNRj3pRDENv5mWPiWrgP
65,13pbpLD2hH82s7V3nA8t6BcMaHWYcF4diM
66,13qF2huSpD4Vim62ChBFbUjtxWQ1zSCE4W
67,13ZgpEZTB78XBqwmBY8imm5iu1y1goBiHT
68,13zzQXu3taaKNgeg1oZc2M3Hn1mwGwZXDP
69,142V2R3KE5dSkmVmzwBL7JzE9y4dKmLoKn
70,147Miaw1WvqZ8TCMK8mKdTsPq4uaD8zBJp
71,14cBcGW4aBoT5aBgfdme7MxQKjLPbhFU5h
72,14Emttme58qPDmLa5x8TvtaQpswk45nwBK
73,14ErBP2JEt7A2hhqAFCUXPTQiXkfxQqewA
74,14Fau5vbWmULPM1Ep3LAA1uTrKxJayqgFJ
75,14goUA7QGYYvyXWFTfoJkaf1bFjpiCZo1v
