,involvesWatchonly,address,category,amount,label,vout,confirmations,blockhash,blockheight,blockindex,blocktime,txid,walletconflicts,time,timereceived,bip125-replaceable,fee,abandoned,vin_raw_list,vout_list
0,True,3DKcHmHdqcUDAX2Yi2sjX9Hauam25Nk5Ja,receive,50.00000000,test,0,64611,0000000000000000000a1c5c75de52f3fda0b444b2d9561b768f68224a2a3290,617518,872,1581789478,0206a1c8723c7a0ef894354da3a4cdfa9787541c759a18be28c3f9f1eee56f66,[],1581789478,1619660717,no,,,"[('08e74e84b2545e1c3056718b962827038aa0dd0973834b3f21bc83645c9cc326', 1), ('23d4fae3c11f130291d2975ee464cbfba6e831bf5860b1bddedce859276e1a5b', 0), ('e80fff854425fdcba07bf20d7488f8b6e5280fa72dd5c15a67d3d1457d7dd263', 1)]",['3DKcHmHdqcUDAX2Yi2sjX9Hauam25Nk5Ja']
1,True,3JNZyt1ocETf9oHscQfx17XNqY3odHAjaR,receive,50.00000000,test,1,64611,0000000000000000000a1c5c75de52f3fda0b444b2d9561b768f68224a2a3290,617518,1082,1581789478,784b529b29b054e15637ec0ceb7dcc56e34f0737ccb9f7524eeb05a659d50c89,[],1581789478,1619660717,no,,,"[('6d9a3a3e0805940cf0f6380c3f9d85b18c24822f875ba745a275b54c19841188', 0), ('72c05893bf217942ddcb677fdef5bd9260036da9f6b7658e249b73be1436dda1', 1), ('9d1229d69afb2b2619efa83c85d4a0990fe6ece4d630d209d3fe7a20a6ee0aca', 0), ('bf7344732080dd5c9e0a3b23f58df87fa87161c5e37617e549b03388d98dcc61', 0), ('e0e07e50a267831a5b1c62e78589dfc3b9a6d181a238c68c90fffa80c2569b4a', 0), ('f14b51f482eafc3310a07da3429061f0dbafba0d812a8f467463cb01bd6644f1', 10), ('fa37b955396400b14728488fc1c5127af00127f5cef9ac127c170f98d4a06d92', 1)]","['3LxjWbVcEa8fsKQ913H3rDuzrZihFxd5Qx', '3JNZyt1ocETf9oHscQfx17XNqY3odHAjaR']"
2,True,3QhHo5Y2odxP6ysLya5YvUQZMxyFDxyYjL,send,-99.99992736,,0,64600,00000000000000000005613da8ffa2191bf7b8514460790021a96f152c1c708c,617529,36,1581792148,f9aaddbc3a7fd1079e4418dc2b0a8be76caa42c4127819c75d3c7db483bb7692,[],1581792148,1619660717,no,-0.00007264,False,"[('0206a1c8723c7a0ef894354da3a4cdfa9787541c759a18be28c3f9f1eee56f66', 0), ('784b529b29b054e15637ec0ceb7dcc56e34f0737ccb9f7524eeb05a659d50c89', 1)]",['3QhHo5Y2odxP6ysLya5YvUQZMxyFDxyYjL']
3,True,3JjtnDXknvY7HWidn5wt5BdZsRdXCGEt8y,receive,10.00000000,test,0,62990,000000000000000000116e16b59bcc11133e158d28ad95474662a368eb0406d1,619139,521,1582764816,96783e3b6e405410a4c1677dc98b09836abafccbfe33e1064a0463162ee61046,[],1582764816,1619660755,no,,,"[('2aa53732be0c221f78dd33a23f707fa70275573acc897311cdb766ed94575477', 0)]","['3JjtnDXknvY7HWidn5wt5BdZsRdXCGEt8y', '3BZ7nCQ7wHxbzKQeGCwkkFQjY6CVuetnhD']"
4,True,32RLGxLjwEvcaT7r3afgZQskYfZ9bqxHHm,send,-9.99997840,,0,61942,0000000000000000000d13e44844b56e399746719d415ece1f2d97d1f785572f,620187,2961,1583348600,54f55be92d7424880981bb25c01992b6bbff13da1e47a08699604116d2ca90de,[],1583348600,1619660780,no,-0.00002160,False,"[('96783e3b6e405410a4c1677dc98b09836abafccbfe33e1064a0463162ee61046', 0)]",['32RLGxLjwEvcaT7r3afgZQskYfZ9bqxHHm']
5,True,336Cqh6hp7qXtJtU26BAPFWW1v2bBymrej,receive,0.00060000,test,69,61941,00000000000000000008279e870537b797c1b4882d8aeea773b6b4abdbc2697d,620188,47,1583349315,a9b6dd0615a58a1a1d34e98a326fbe299ecb0cd48cb008f6c3bd648d0a8713b0,[],1583349315,1619660780,no,,,"[('c246277722298f9634d75e7f6e95dc17c27a358fc4ccf00d64cd7eb9f1bcc637', 1), ('4557a7c705007ae07b9bfe137ff5377ed848b7d0b6b43d0c89ca0898cce84dcb', 1)]","['bc1qs0pkt4j5e7e8xacd6839z37zcn5uzlexxwwwd8', '1Aqd3AVNE6biFzQQMuPHZbuKF8nFXRZx1S', 'bc1q407rkxlyqnhnfl8z838e2g3tdmcnq7ea2f9836', '1MtLWPR1yM6VoaLNedrtpMTfhA7V9TKpcm', '3JfbbsPYPm6QwY89FjZGYST4U2CrgqDHwC', '12KP8KCxF8vh2EjvHMARX952KZSV9X1F6v', '19YQ1yfVBMFEiHPH9kBoGrRjeuR8bguAaQ', '1NJfHXT1L7J9cpyMMvvVmCFFpGF9hMs82t', '1KSLymCPEvTzYD4ue5VheFBw9bMkNvNAei', '12qfNet3KkbtPRginHSvZmPQvfn7Zunrug', '37B9CxdLTTCNQVzYFRjdmikEMGfhHAnFrN', '3BMEXhdVcwSAhkFNrP5zcfbNRW5yG5CTNV', '17irghVnnvSAanLwmNQ5MbuadTPiEz35Eh', '3EGnw53s76o4sbNyPqYFg3ggwQLJZEaJFV', 'bc1qtht793txlnvj392z6294k0pr463k8nlyzje7vw', '3D4FfoZhu23K2B5SWXL3BMPCtuczKgcfya', '1LWxdGiNr3YRaWxWazbiwg6DnopUahARPw', 'bc1q25lkuuzxn73uy869dzfqm40wq2r5v5vyr84kea', '3FR2arvG1JqSK4zgn6K55yYjfb6VrWBkaU', '3BMEXfxvMLuqDgf6rNY6Unm1Ncr2Jts9cL', '3Eq4wwoa3PWD6V3qBvDFP5VZziv7aks8Ys', '3MZ41Q9es5hxCfGUyGoLTL43AqKvhZqKwg', '38RMPh3h1bzRkQEzt7Y7ErWVXzCGY16DsQ', '1e9jqafNTmSS3V1v6rEy6EPGCrNbdbAHg', '37xJRAS2uaGb49o6RzRvGQ9sYod5JtbT2y', '33PJ4rxqX4hJcKe7Pfn7iDpy2NeWNKLc5z', '33YBT98yjphGxjECwJemRNGqswcPaqsYvB', 'bc1q742heqru95vx0m2c9jcgk43e4k7huan82jerkc', '13XoV4m36Z6xFRaZhWekxYgy3TgRPGMrrz', '3BN64XX3gG1MaRcSk6AGeNi8WfEpFY5CUR', '3CndnBpkbK6wqdmKrRHgzn7daCwmhYTMMk', '3QiSXS8YgZQdzkdQmcx5urK6pPzGRmMMSR', '3Bssvhcdf5bz4bAHV17fp28uiNBZi65hK9', '1QBV5rE4SprSZwVDNGNHdLpoAWRu4RrSdz', 'bc1qxrdkwptj026n9jkn7a2huca374u9dcjuwa0ewu', '3BMEXU628yowJ8y7WHTSvyWEBxd74Q7dbD', '3G9KsMrSh8ebPgBnmRciaZB7vFEEbQ2znw', '3BKTruBEhKnEebE1AXGYCrS7y1BovVbEkm', '3AYE9P9b1bFVZgGoQHSaAXxeGhngge3qU3', '1PYeXYjHHnRrER9xnzUFvq5gAEvKPhHmi4', '39R7TrLBNxvBqWEMBcGt4MYjF1dbyN7vE5', '3HubdZwc3MVjXN2pzameXJ4UzREvPBYkc8', '3P7DNnxwNKPn1EEkfq4euWpwAEWaHfuL1t', '33eXPjVfzXLk9Pc3jNKKe9ZLQ5HNGhWEwb', '335JAXRcWZsAphWJW6EqMwW5h17ZBk9Tdr', '1GsK6cfSkM9TVUukCgmm5uC5X6CuUs9US5', '3GfnyanFBKBCWcF893DQ5J5pCc3hGjqZ83', '3QXqiNFHeorPVfLS4L43SgZ8r6ArTVWQyi', '3N16kYagpx2WGCvFRyoFWTR8zwXrb92YWh', '12EXDbFR4BgZcJZJL7X6wG3yF5LDSgKehR', '15AJJNqhRmHv5Fg8J9B5NmA2kq65My6Kbf', '3FnHX2qJTKysAAU1fcDnS6vTD1BRXLK2eM', '12Sc7ysfBd7tkJcc6vya4y9ZxHY9ATmdd7', '3LoQCBqVUjB6SRQAASh1E4vAzMWDK6ps2e', '33qeVzasE63tErtWJ31JaYghdV2f3NHVcn', '3NtS9yXW9RD6Q8DcjTdTGuu45tn9YurcAh', '33TRF5uJscSH4Nf7ufMcQZJZkAsyvAjU9c', '12XuGyL5ZrmJ211FN5BHxNwsuorXnr3aWE', '3BMEXp9uJGQVAdZDXvQ7Mx2rYtXCoJbaT2', '1EPXugEvdabiXeW5UNizySz9opzYH5hSQr', '3BrH5kABzAugC3WAaHU9uRJVrfaJen9M3R', '1HSV98eZKdbLWThiricuuJArJ37EMeNiVY', '33U4cuzdig8stjTaCF4YpvhQbPBQPiYbcW', '3Hm5pDpeRhWv52YTAY7CtDz2qcG4XHwr4v', '1NCyM6xC1rGbbaJSzhQY91PqibX2dptHo', '3GRLk1XpJtNciNa5VbbvetueCdgsVfCCuM', 'bc1qyc6mm6sznm8gzyrat9vsmvjq5l33nr26nx0p74', '13DYEY626guj7bStMtPKfuecANLSmpNyCd', 'bc1q3fje6vkxfzshwrej7u7t97znk8pf8pu5udruve', '336Cqh6hp7qXtJtU26BAPFWW1v2bBymrej', '1KTTzmYmQjCXYKtjgYGQCGk8mnXWPc49E7']"
6,True,3J9rQSzvNThPdN5FDbJAD3N8Wdce1KF6Ms,receive,0.01000000,test,0,61846,000000000000000000059238b239d4266b1eb4e07ee438100a41671f5fafb4d5,620283,999,1583389171,d5be29d705014b9d0e79560b8db92934a9da31ed18d0c930cf3c71bdb2b97f17,[],1583389171,1619660782,no,,,"[('58e87bd6c6eb91bc83257578341f18eddd75882add0afb0f7bb0d927449b9b6a', 0)]","['3J9rQSzvNThPdN5FDbJAD3N8Wdce1KF6Ms', '34ZUrLmLU9jkSULc8zWPDwYo2BsjJt7Egn']"
7,True,3J9rQSzvNThPdN5FDbJAD3N8Wdce1KF6Ms,receive,249.99000000,test,0,61726,0000000000000000000084357f7d461b6b735b5621a97a109db7455007c2ea5d,620403,590,1583458301,bf1df158247cba3df3407f7593d3c3e9706ebed4fd721c823ea59f6086699bd4,[],1583458301,1619660786,no,,,"[('94fcb26ade1d0ddaa06a0262718f8041537675705dd6f8340d73680ae03984a6', 2), ('d1d2d1d3396826d7c9b9d1d966ad27931eaf07f8785bb44f503902cb2a40fb82', 30), ('47e15092622c6968056258f0afc8019f633c194dbf044430f7f6bbbfe7c5a477', 35), ('d5be29d705014b9d0e79560b8db92934a9da31ed18d0c930cf3c71bdb2b97f17', 1)]","['3J9rQSzvNThPdN5FDbJAD3N8Wdce1KF6Ms', '39s8d6pmywQ38yF34s5WTzF5sySiBquGDC']"
8,True,3B5BKg2oYxnLw274V1Eg2sVB9tUdmQyTxd,send,-250.00000000,,1,61625,0000000000000000000099ab0934cab01fec254af919c56812de1d953d6b9a00,620504,1746,1583519656,6e34edc5a5b63aedd3547bf08448cd2701ba6b1ab923547ed3e7fc5b94f832be,[],1583519656,1619660788,no,-0.00008073,False,"[('a9b6dd0615a58a1a1d34e98a326fbe299ecb0cd48cb008f6c3bd648d0a8713b0', 69), ('bf1df158247cba3df3407f7593d3c3e9706ebed4fd721c823ea59f6086699bd4', 0), ('d5be29d705014b9d0e79560b8db92934a9da31ed18d0c930cf3c71bdb2b97f17', 0)]","['3DzNH41tkWt3YYbwkWYLUi8fD7Rj6WJrnX', '3B5BKg2oYxnLw274V1Eg2sVB9tUdmQyTxd']"
9,True,3B5BKg2oYxnLw274V1Eg2sVB9tUdmQyTxd,send,-250.00000000,,1,61625,0000000000000000000099ab0934cab01fec254af919c56812de1d953d6b9a00,620504,1746,1583519656,6e34edc5a5b63aedd3547bf08448cd2701ba6b1ab923547ed3e7fc5b94f832be,[],1583519656,1619660788,no,-0.00008073,False,"[('a9b6dd0615a58a1a1d34e98a326fbe299ecb0cd48cb008f6c3bd648d0a8713b0', 69), ('bf1df158247cba3df3407f7593d3c3e9706ebed4fd721c823ea59f6086699bd4', 0), ('d5be29d705014b9d0e79560b8db92934a9da31ed18d0c930cf3c71bdb2b97f17', 0)]","['3DzNH41tkWt3YYbwkWYLUi8fD7Rj6WJrnX', '3B5BKg2oYxnLw274V1Eg2sVB9tUdmQyTxd']"
